City,Median Household Income(dollars)
"Glendale, Arizona",49383
"Inglewood, California",46389
"Los Angeles, California",54501
"San Francisco, California",96265
"Santa Clara, California",108609
"Denver, Colorado",60098
"Washington, District of Columbia",77649
"Jacksonville, Florida",50555
"Miami, Florida",33999
"Miami Gardens, Florida",41139
"Tampa, Florida",48245
"Atlanta, Georgia",51701
"Chicago, Illinois",52497
"New Orleans, Louisiana",38721
"Landover, Maryland",53694
"Boston, Massachusetts",62021
"Foxborough, Massachusetts",69309
"Detroit, Michigan",27838
"Minneapolis, Minnesota",55720
"Kansas City, Missouri",50136
"Las Vegas, Nevada",53159
"Paradise, Nevada",45904
"East Rutherford, New Jersey",77400
"Buffalo, New York",34268
"New York, New York",57782
"Orchard Park, New York",89679
"Charlotte, North Carolina",58202
"Cincinnati, Ohio",36429
"Cleveland, Ohio",27854
"Philadelphia, Pennsylvania",40649
"Pittsburgh, Pennsylvania",44092
"Nashville, Tennessee",52858
"Arlington, Texas",55562
"Houston, Texas",49399
"Seattle, Washington",79565
"Green Bay, Wisconsin",45473
"Indianapolis, Indiana",44709
"Baltimore, Maryland",46641
"Oakland, California",63251
